colleague,family,congregate,contact,Source,Target,name_1,name_2,rel_url
1,0,0,0,231,63,UmarBaziyani,Saif_Aldin_Mustafa_Nuaimi,http://profilesinterror.mindswap.org/document/5#UmarBaziyani_http://profilesinterror.mindswap.org/document/2005/06/20/18:06:15#Saif_Aldin_Mustafa_Nuaimi
1,0,0,0,213,39,Zawahiri,OBL,http://profilesinterror.mindswap.org/document/22#Zawahiri_http://profilesinterror.mindswap.org/document/11#OBL
1,0,0,0,47,213,abu_Faraj_al-Libbi,Zawahiri,http://profilesinterror.mindswap.org/document/2005/05/12/18:58:57#abu_Faraj_al-Libbi_http://profilesinterror.mindswap.org/document/22#Zawahiri
1,0,0,0,47,45,abu_Faraj_al-Libbi,KSM,http://profilesinterror.mindswap.org/document/2005/05/12/18:58:57#abu_Faraj_al-Libbi_http://profilesinterror.mindswap.org/document/2005/04/29/17:18:47#KSM
1,0,0,0,3,33,Ahmed_Said_Khadr,Wadih_el-Hage,http://counterterror.mindswap.org/2005/terrorists.owl#Ahmed_Said_Khadr_http://counterterror.mindswap.org/2005/terrorists.owl#Wadih_el-Hage
1,0,0,0,19,33,Mustafa_Ahmed_al-Hawsawi,Wadih_el-Hage,http://counterterror.mindswap.org/2005/terrorists.owl#Mustafa_Ahmed_al-Hawsawi_http://counterterror.mindswap.org/2005/terrorists.owl#Wadih_el-Hage
1,0,0,0,16,19,Mamdouh_Mahmud_Salim,Mustafa_Ahmed_al-Hawsawi,http://counterterror.mindswap.org/2005/terrorists.owl#Mamdouh_Mahmud_Salim_http://counterterror.mindswap.org/2005/terrorists.owl#Mustafa_Ahmed_al-Hawsawi
0,0,0,1,213,212,Zawahiri,Rahman,http://profilesinterror.mindswap.org/document/22#Zawahiri_http://profilesinterror.mindswap.org/document/22#Rahman
0,0,0,1,0,213,Abdel_Qader_Mahmoud_Es_Sayed,Zawahiri,http://counterterror.mindswap.org/2005/terrorists.owl#Abdel_Qader_Mahmoud_Es_Sayed_http://profilesinterror.mindswap.org/document/22#Zawahiri
0,0,0,1,17,11,Mohammed_el-Amir_Awad_el-Sayed_Atta,Imad_Edin_Barakat_Yarkas,http://counterterror.mindswap.org/2005/terrorists.owl#Mohammed_el-Amir_Awad_el-Sayed_Atta_http://counterterror.mindswap.org/2005/terrorists.owl#Imad_Edin_Barakat_Yarkas
0,0,0,1,65,67,Hasib_Mir_Hussain,Mohammad_Sidique_Khan,http://profilesinterror.mindswap.org/document/2005/07/26/23:58:29#Hasib_Mir_Hussain_http://profilesinterror.mindswap.org/document/2005/07/28/15:59:18#Mohammad_Sidique_Khan
0,0,0,1,65,68,Hasib_Mir_Hussain,Germaine_Lindsay,http://profilesinterror.mindswap.org/document/2005/07/26/23:58:29#Hasib_Mir_Hussain_http://profilesinterror.mindswap.org/document/2005/07/28/16:02:44#Germaine_Lindsay
0,0,0,1,11,23,Imad_Edin_Barakat_Yarkas,Omar_Mahmoud_Othman,http://counterterror.mindswap.org/2005/terrorists.owl#Imad_Edin_Barakat_Yarkas_http://counterterror.mindswap.org/2005/terrorists.owl#Omar_Mahmoud_Othman
0,0,1,0,9,67,Habib_Zacarias_Moussaoui,Mohammad_Sidique_Khan,http://counterterror.mindswap.org/2005/terrorists.owl#Habib_Zacarias_Moussaoui_http://profilesinterror.mindswap.org/document/2005/07/28/15:59:18#Mohammad_Sidique_Khan
0,0,1,0,28,67,Richard_Colvin_Reid,Mohammad_Sidique_Khan,http://counterterror.mindswap.org/2005/terrorists.owl#Richard_Colvin_Reid_http://profilesinterror.mindswap.org/document/2005/07/28/15:59:18#Mohammad_Sidique_Khan
0,0,1,0,68,9,Germaine_Lindsay,Habib_Zacarias_Moussaoui,http://profilesinterror.mindswap.org/document/2005/07/28/16:02:44#Germaine_Lindsay_http://counterterror.mindswap.org/2005/terrorists.owl#Habib_Zacarias_Moussaoui
0,0,1,0,28,9,Richard_Colvin_Reid,Habib_Zacarias_Moussaoui,http://counterterror.mindswap.org/2005/terrorists.owl#Richard_Colvin_Reid_http://counterterror.mindswap.org/2005/terrorists.owl#Habib_Zacarias_Moussaoui
1,0,0,0,232,63,Zarqawi,Saif_Aldin_Mustafa_Nuaimi,http://profilesinterror.mindswap.org/document/5#Zarqawi_http://profilesinterror.mindswap.org/document/2005/06/20/18:06:15#Saif_Aldin_Mustafa_Nuaimi
1,0,0,0,231,232,UmarBaziyani,Zarqawi,http://profilesinterror.mindswap.org/document/5#UmarBaziyani_http://profilesinterror.mindswap.org/document/5#Zarqawi
1,0,0,0,45,39,KSM,OBL,http://profilesinterror.mindswap.org/document/2005/04/29/17:18:47#KSM_http://profilesinterror.mindswap.org/document/11#OBL
1,0,0,0,47,39,abu_Faraj_al-Libbi,OBL,http://profilesinterror.mindswap.org/document/2005/05/12/18:58:57#abu_Faraj_al-Libbi_http://profilesinterror.mindswap.org/document/11#OBL
1,0,0,0,45,213,KSM,Zawahiri,http://profilesinterror.mindswap.org/document/2005/04/29/17:18:47#KSM_http://profilesinterror.mindswap.org/document/22#Zawahiri
1,0,0,0,16,33,Mamdouh_Mahmud_Salim,Wadih_el-Hage,http://counterterror.mindswap.org/2005/terrorists.owl#Mamdouh_Mahmud_Salim_http://counterterror.mindswap.org/2005/terrorists.owl#Wadih_el-Hage
1,0,0,0,35,34,Wali_Khan_Amin_Shah,Waleed_Mohd_Tawfiq_bin_Attash,http://counterterror.mindswap.org/2005/terrorists.owl#Wali_Khan_Amin_Shah_http://counterterror.mindswap.org/2005/terrorists.owl#Waleed_Mohd_Tawfiq_bin_Attash
1,0,0,0,16,3,Mamdouh_Mahmud_Salim,Ahmed_Said_Khadr,http://counterterror.mindswap.org/2005/terrorists.owl#Mamdouh_Mahmud_Salim_http://counterterror.mindswap.org/2005/terrorists.owl#Ahmed_Said_Khadr
1,0,0,0,19,3,Mustafa_Ahmed_al-Hawsawi,Ahmed_Said_Khadr,http://counterterror.mindswap.org/2005/terrorists.owl#Mustafa_Ahmed_al-Hawsawi_http://counterterror.mindswap.org/2005/terrorists.owl#Ahmed_Said_Khadr
0,0,0,1,23,232,Omar_Mahmoud_Othman,Zarqawi,http://counterterror.mindswap.org/2005/terrorists.owl#Omar_Mahmoud_Othman_http://profilesinterror.mindswap.org/document/5#Zarqawi
0,0,0,1,225,227,KhaledMashal,HassanNasrallah,http://profilesinterror.mindswap.org/document/30#KhaledMashal_http://profilesinterror.mindswap.org/document/34#HassanNasrallah
0,0,0,1,39,213,OBL,Zawahiri,http://profilesinterror.mindswap.org/document/11#OBL_http://profilesinterror.mindswap.org/document/22#Zawahiri
0,0,0,1,66,67,Shehzad_Tanweer,Mohammad_Sidique_Khan,http://profilesinterror.mindswap.org/document/2005/07/28/15:52:19#Shehzad_Tanweer_http://profilesinterror.mindswap.org/document/2005/07/28/15:59:18#Mohammad_Sidique_Khan
0,0,0,1,66,68,Shehzad_Tanweer,Germaine_Lindsay,http://profilesinterror.mindswap.org/document/2005/07/28/15:52:19#Shehzad_Tanweer_http://profilesinterror.mindswap.org/document/2005/07/28/16:02:44#Germaine_Lindsay
0,0,0,1,65,66,Hasib_Mir_Hussain,Shehzad_Tanweer,http://profilesinterror.mindswap.org/document/2005/07/26/23:58:29#Hasib_Mir_Hussain_http://profilesinterror.mindswap.org/document/2005/07/28/15:52:19#Shehzad_Tanweer
0,0,0,1,27,26,Ramzi_Mohd_Abdullah_bin_al-Shibh,Raeed_Hijazi,http://counterterror.mindswap.org/2005/terrorists.owl#Ramzi_Mohd_Abdullah_bin_al-Shibh_http://counterterror.mindswap.org/2005/terrorists.owl#Raeed_Hijazi
0,0,1,0,68,28,Germaine_Lindsay,Richard_Colvin_Reid,http://profilesinterror.mindswap.org/document/2005/07/28/16:02:44#Germaine_Lindsay_http://counterterror.mindswap.org/2005/terrorists.owl#Richard_Colvin_Reid
